tier,title,LS: Perception,LS: Input,LS: Organization,LS: Processing,LS: Understanding,CT,D,BT,P
ER11q_2_3,How to keep up to date,P:I,I:V,,Pr:R,U:G,video,shallow,,adaptable
ER11s_2_1,How to keep up to date,P:S,I:A,O:I,Pr:A,,text,shallow,remember,adaptive
ER11s_2_2,How to keep up to date,P:I,I:V,,,,video,general,understand,adaptive
ER11s_2_3,How to keep up to date,P:S,I:A,O:D,,U:S,video,shallow,create,adaptive
ER11t_2_1,How to keep up to date,P:I,I:V,O:D,,U:S,image,general,apply,adaptive
ER11t_2_2,How to keep up to date,P:I,I:V,,Pr:R,U:S,video,general,apply,adaptive
ER11t_2_3,How to keep up to date,P:S,I:A,O:D,Pr:A,U:G,video,shallow,evaluate,adaptive
LO3d_1,,,,,,,,,,none
ER12a_1_1,Staying informed,P:S,I:V,,,,image,shallow,,none
ER12b_1_1,Staying informed,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,none
ER12c_1_1,Staying informed,P:S,I:A,,,,website,shallow,Apply,none
Part 3,,,,,,,,,,
LO4a_1,,,,,,,,,,none
ER13a_1_1,Securing my digital information,P:S,I:V,,,,image,shallow,,adaptive
ER13a_1_2,Securing my digital information,P:I,I:V,,Pr:A,,image,general,analyze,adaptive
ER13a_1_3,Securing my digital information,P:S,I:A,O:D,,,video,general,understand,adaptive
ER13a_1_4,Securing my digital information,P:I,I:V,O:I,Pr:R,U:S,website,deep,understand,adaptive
ER13a_1_5,Securing my digital information,P:I,I:V,O:I,Pr:R,U:S,website,shallow,evaluate,adaptive
ER13b_1_1,Securing my digital information,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,adaptable
ER13b_1_2,Securing my digital information,P:I,I:V,O:D,Pr:R,U:S,image,deep,understand,adaptable
ER13b_1_3,Securing my digital information,P:I,I:V,O:D,Pr:R,,website,general,apply,adaptable
ER13b_1_4,Securing my digital information,P:I,I:V,,,,video,shallow,apply,adaptable
ER13b_1_5,Securing my digital information,P:I,I:V,O:D,Pr:R,U:S,image,shallow,apply,adaptable
ER13c_1_1,Securing my digital information,P:S,I:A,O:I,Pr:R,U:S,text,general,Apply,adaptive
ER13c_1_2,Securing my digital information,P:I,I:V,,Pr:A,U:G,audio,shallow,remember,adaptive
LO4b_1,,,,,,,,,,none
ER14a_1_1,Threats to your assets,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,adaptive
ER14a_1_2,Threats to your assets,P:I,I:V,O:I,,,text,deep,remember,adaptive
ER14b_1_1,Threats to your assets,P:I,I:A,,,,website,general,Evaluate,adaptive
ER14b_1_2,Threats to your assets,P:I,I:V,O:D,Pr:R,,website,deep,,adaptive
ER14b_1_3,Threats to your assets,P:S,I:A,O:I,Pr:R,U:G,website,general,apply,adaptive
ER14b_1_4,Threats to your assets,P:S,I:A,,,U:G,text,general,,adaptive
ER14c_1_1,Threats to your assets,P:S,I:A,O:I,Pr:R,U:S,text,general,"Apply, Remember",adaptive
ER14c_1_2,Threats to your assets,P:I,I:V,,Pr:A,U:G,text,shallow,evaluate,adaptive
ER14c_1_3,Threats to your assets,P:S,I:A,,Pr:A,,image,deep,create,adaptive
ER14c_1_4,Threats to your assets,P:S,I:A,O:D,Pr:R,,audio,general,evaluate,adaptive
ER14c_1_5,Threats to your assets,P:S,I:A,,Pr:R,U:G,audio,deep,analyze,adaptive
ER14d_1_1,Threats to your assets,P:S,I:A,O:I,Pr:A,U:S,website,shallow,"Apply, Create",adaptive
ER14d_1_2,Threats to your assets,P:I,I:V,O:I,Pr:A,,video,general,,adaptive
ER14d_1_3,Threats to your assets,P:I,I:V,,Pr:A,,text,deep,remember,adaptive
ER14d_1_4,Threats to your assets,P:S,I:A,O:D,Pr:A,,image,general,understand,adaptive
ER14e_1_1,Threats to your assets,P:S,I:V,,,,image,shallow,,none
Part 4,,,,,,,,,,
LO5a_1,,,,,,,,,,none
ER15a_1_1,Week 1 quiz,P:I,I:A,,,,text,shallow,Understand,none
ER15b_1_1,Week 1 quiz,P:I,I:A,,Pr:R,,website,general,Create,none
Part 5,,,,,,,,,,
LO6a_1,,,,,,,,,,none
ER16a_1_1,Summary of Week 1,P:S,I:V,,,,image,shallow,,none
ER16b_1_1,Summary of Week 1,P:I,I:A,O:D,Pr:R,U:S,text,general,Understand,none
Part 6,,,,,,,,,,
LO7a_1,,,,,,,,,,none
ER17a_1_1,Further reading,P:I,I:A,,,,text,shallow,Understand,none
ER17b_1_1,Further reading,P:I,I:A,,,,website,deep,,none
ER17c_1_1,Further reading,P:I,I:A,,,,website,deep,,none
ER17d_1_1,Further reading,P:I,I:A,,,,website,deep,,none
ER17e_1_1,Further reading,P:I,I:A,,,,website,deep,,none
ER17f_1_1,Further reading,P:I,I:A,,,,website,deep,,none
ER17g_1_1,Further reading,P:I,I:A,,,,website,deep,,none
Part 7,,,,,,,,,,
LO8a_1,,,,,,,,,,none
ER18a_1_1,References,P:I,I:A,,,,text,shallow,Understand,none
ER18b_1_1,References,P:I,I:A,,,,website,deep,,none
ER18c_1_1,References,P:I,I:A,,,,website,deep,,none
ER18d_1_1,References,P:I,I:A,,,,website,deep,,none
ER18e_1_1,References,P:I,I:A,,,,website,deep,,none
ER18f_1_1,References,P:I,I:A,,,,website,deep,,none
ER18g_1_1,References,P:I,I:A,,,,website,deep,,none
ER18h_1_1,References,P:I,I:A,,,,website,deep,,none
ER18i_1_1,References,P:I,I:A,,,,website,deep,,none
