,label,bow_wt,bow_stem,bow_lem
456,particular,1.0,1.0,1.0
457,particularli,,1.0,
458,particularly,1.0,,1.0
459,passport,3.0,3.0,3.0
460,peer,11.0,12.0,12.0
461,peers,1.0,,
462,peerscholar,5.0,5.0,5.0
463,perhap,,1.0,
464,perhaps,1.0,,1.0
465,person,,2.0,
466,personal,2.0,,2.0
467,phase,2.0,2.0,2.0
468,place,4.0,4.0,4.0
469,plan,,1.0,1.0
470,plans,1.0,,
471,plantuml,1.0,1.0,1.0
472,play,1.0,1.0,1.0
473,point,2.0,5.0,5.0
474,points,3.0,,
475,possibl,,3.0,
476,possible,3.0,,3.0
477,post,,1.0,
478,posted,1.0,,1.0
479,power,,1.0,
480,powerful,1.0,,1.0
481,practic,,1.0,
482,practice,1.0,,1.0
483,prefer,1.0,1.0,1.0
484,prepar,,8.0,
485,prepare,4.0,,4.0
486,prepared,1.0,,1.0
487,prepares,2.0,,2.0
488,preparing,1.0,,1.0
489,present,5.0,8.0,5.0
490,presentation,3.0,,3.0
491,press,,1.0,
492,pressed,1.0,,1.0
493,prior,2.0,2.0,2.0
494,pro,1.0,1.0,1.0
495,problem,,1.0,1.0
496,problems,1.0,,
497,process,2.0,2.0,2.0
498,produc,,2.0,
499,produce,2.0,,2.0
500,progress,3.0,3.0,3.0
501,project,12.0,14.0,14.0
502,projects,2.0,,
503,prototyp,,7.0,
504,prototype,6.0,,7.0
505,prototypes,1.0,,
506,provid,,3.0,
507,provide,3.0,,3.0
508,pull,2.0,3.0,2.0
509,pulling,1.0,,1.0
510,purpos,,1.0,
511,purpose,1.0,,1.0
512,push,1.0,4.0,2.0
513,pushes,1.0,,
514,pushing,2.0,,2.0
515,pushpul,,1.0,
516,pushpull,1.0,,1.0
517,qualiti,,1.0,
518,quality,1.0,,1.0
519,question,,5.0,5.0
520,questions,5.0,,
521,quit,,2.0,
522,quite,2.0,,2.0
523,rate,2.0,2.0,2.0
524,read,2.0,5.0,2.0
525,reading,3.0,,3.0
526,readm,,1.0,
527,readme,1.0,,1.0
528,receiv,,6.0,
529,receive,2.0,,2.0
530,received,4.0,,4.0
531,recommend,1.0,3.0,1.0
532,recommended,2.0,,2.0
