file_name,bloom_level,wt_num,stem_num,lem_num,weight,variance
EECS_2311_Project_[EECS2311]_content,create,0,3,0,3.0,0.0
EECS_2311_Project_[EECS2311]_original_requirements,create,0,2,0,2.0,0.0
eecs_2311_team_expectations_agreement,create,0,1,0,3.0,
gitflow,create,2,2,2,13.0,0.7949545035546962
GitInEclipse-s1-full,create,2,3,2,5.333333333333333,0.701560760020114
git,create,1,2,1,4.333333333333333,0.15384615384615385
junit,create,2,3,2,4.666666666666667,0.9574271077563381
midtermsubmission,create,1,3,1,1.6666666666666667,0.0
projintro,create,5,6,5,8.666666666666666,0.8062869336218891
RefactoringLecture-s1-full,create,3,4,3,32.666666666666664,0.8853996954298745
TestCoverage-s1-full,create,1,2,1,2.3333333333333335,0.5471012044321932
TestFX-s1-full,create,2,2,2,2.0,0.0
video1070436446-s1-full,create,1,4,2,8.0,0.7115938031916388
video1093009770-s1-full,create,1,3,1,2.3333333333333335,0.3912303982179758
video1161828255-s1-full,create,2,4,2,4.0,0.5039526306789696
video1263128755-s1-full,create,3,4,3,5.333333333333333,0.7905694150420948
video1592612799-s1-full,create,1,2,1,3.6666666666666665,0.4575657233497424
video1652578959-s1-full,create,3,4,3,18.666666666666668,1.3760174549333228
video1766812555-s1-full,create,1,2,1,1.3333333333333333,0.0
video1767379574-s1-full,create,1,3,1,2.6666666666666665,0.5590169943749473
video1860539589-s1-full,create,5,6,5,26.0,0.9441098529410322
video2621708691-s1-full,create,6,7,6,24.333333333333332,1.101734796458402
